SCORE	StdDev	height	second
1.020878	107.379807	20	12
0.989039	104.030875	20	13
1.012209	106.468014	20	14
1.004007	105.605348	20	15
0.975888	102.647639	20	16
0.969678	101.994461	20	17
0.933807	98.221373	20	18
1.021990	107.496786	20	19
1.000571	110.876622	21	0
1.042770	115.552842	21	1
1.001526	110.982484	21	2
1.006155	111.495411	21	3
1.030279	114.168636	21	4
0.983198	108.951415	21	5
1.017730	112.778102	21	6
0.952984	105.603288	21	7
0.981464	108.759248	21	8
0.975801	108.131787	21	9
0.966466	107.097324	21	10
0.996758	110.454075	21	11
1.033820	114.561056	21	12
1.022463	113.302499	21	13
0.967876	107.253547	21	14
1.001017	110.925984	21	15
1.003591	111.211293	21	16
1.018256	112.836325	21	17
0.967436	107.204804	21	18
1.022172	113.270257	21	19
1.007668	111.663040	21	20
0.989109	113.466846	22	0
0.986295	113.144001	22	1
1.011234	116.004922	22	2
0.962244	110.384962	22	3
1.006281	115.436725	22	4
1.006492	115.460905	22	5
0.972747	111.589856	22	6
1.003558	115.124391	22	7
0.994744	114.113237	22	8
0.989875	113.554677	22	9
1.028719	118.010727	22	10
0.999047	114.606881	22	11
0.997441	114.422681	22	12
1.007792	115.610059	22	13
1.008021	115.636398	22	14
0.951507	109.153319	22	15
0.988103	113.351444	22	16
0.990957	113.678802	22	17
1.040726	119.388143	22	18
0.991056	113.690176	22	19
1.040472	119.358988	22	20
1.033583	118.568679	22	21
0.994062	119.441525	23	0
0.966576	116.138968	23	1
1.043706	125.406529	23	2
0.994078	119.443397	23	3
0.962217	115.615155	23	4
0.981634	117.948194	23	5
1.047126	125.817448	23	6
0.968157	116.328917	23	7
0.942265	113.217807	23	8
1.008621	121.190868	23	9
1.040793	125.056434	23	10
1.013728	121.804509	23	11
0.986810	118.570106	23	12
0.997625	119.869667	23	13
1.004605	120.708307	23	14
1.008707	121.201139	23	15
1.018734	122.405966	23	16
0.981927	117.983408	23	17
1.025867	123.263087	23	18
1.006057	120.882730	23	19
0.980517	117.814053	23	20
1.029800	123.735660	23	21
0.996390	119.721278	23	22
1.005999	126.427009	24	0
0.975915	122.646324	24	1
1.010964	127.050933	24	2
1.003017	126.052236	24	3
0.953697	119.854116	24	4
1.003864	126.158654	24	5
0.986961	124.034470	24	6
1.006545	126.495620	24	7
1.019496	128.123171	24	8
1.013318	127.346875	24	9
0.984428	123.716150	24	10
1.005775	126.398808	24	11
0.982695	123.498278	24	12
1.025322	128.855407	24	13
1.020975	128.309082	24	14
1.012050	127.187494	24	15
1.024779	128.787161	24	16
0.996969	125.292142	24	17
0.970244	121.933541	24	18
1.035278	130.106556	24	19
0.995032	125.048704	24	20
0.982446	123.467011	24	21
1.003012	126.051613	24	22
0.981221	123.313101	24	23
1.019830	132.011787	25	0
0.998025	129.189245	25	1
1.006234	130.251790	25	2
0.987598	127.839495	25	3
1.013755	131.225458	25	4
1.044596	135.217560	25	5
0.986641	127.715625	25	6
1.012612	131.077455	25	7
0.967754	125.270849	25	8
0.985549	127.574278	25	9
1.007966	130.476051	25	10
0.958738	124.103723	25	11
1.017747	131.742104	25	12
1.038305	134.403258	25	13
0.954558	123.562673	25	14
0.989817	128.126802	25	15
0.993623	128.619371	25	16
0.970302	125.600672	25	17
1.034865	133.958013	25	18
1.022688	132.381738	25	19
0.993990	128.666928	25	20
1.006750	130.318620	25	21
1.016549	131.587105	25	22
0.961952	124.519766	25	23
1.009556	130.681805	25	24
0.972951	133.051543	26	0
1.001307	136.929183	26	1
1.029505	140.785217	26	2
1.028105	140.593842	26	3
0.982752	134.391748	26	4
1.003203	137.188406	26	5
1.018524	139.283644	26	6
1.010105	138.132364	26	7
0.984923	134.688698	26	8
1.012307	138.433467	26	9
0.981306	134.194092	26	10
1.002931	137.151316	26	11
1.032249	141.160469	26	12
1.016900	139.061572	26	13
1.015540	138.875523	26	14
1.005257	137.469381	26	15
1.022735	139.859468	26	16
0.978198	133.768999	26	17
0.973224	133.088822	26	18
0.976900	133.591500	26	19
0.991284	135.558529	26	20
0.973565	133.135440	26	21
0.976238	133.500965	26	22
1.018368	139.262299	26	23
0.968843	132.489731	26	24
1.022777	139.865213	26	25
0.946508	134.700092	27	0
1.000412	142.371371	27	1
1.052069	149.722825	27	2
1.035029	147.297857	27	3
1.017236	144.765693	27	4
0.991278	141.071557	27	5
0.974793	138.725489	27	6
0.993338	141.364712	27	7
0.992738	141.279244	27	8
1.002936	142.730642	27	9
1.019061	145.025344	27	10
1.020567	145.239629	27	11
0.954508	135.838673	27	12
0.962198	136.933066	27	13
0.981185	139.635066	27	14
1.012857	144.142448	27	15
1.020073	145.169387	27	16
1.006811	143.282009	27	17
0.997175	141.910657	27	18
1.003558	142.819092	27	19
1.024102	145.742727	27	20
1.018276	144.913726	27	21
0.988202	140.633783	27	22
1.028185	146.323897	27	23
0.993012	141.318265	27	24
0.977812	139.155133	27	25
0.986081	140.331868	27	26
0.960202	140.132027	28	0
1.014845	148.106580	28	1
1.003957	146.517582	28	2
0.994954	145.203701	28	3
0.997183	145.529080	28	4
1.028244	150.062042	28	5
0.977794	142.699376	28	6
1.028937	150.163194	28	7
1.035435	151.111511	28	8
1.032725	150.715975	28	9
1.006249	146.852064	28	10
0.993024	144.922127	28	11
0.981022	143.170509	28	12
1.009141	147.274186	28	13
1.003321	146.424846	28	14
1.012139	147.711669	28	15
1.002371	146.286170	28	16
0.998120	145.665822	28	17
1.008134	147.127234	28	18
0.973605	142.088118	28	19
0.993163	144.942389	28	20
1.031499	150.537065	28	21
0.989870	144.461726	28	22
0.994702	145.166994	28	23
0.973449	142.065238	28	24
1.007137	146.981697	28	25
0.985802	143.868079	28	26
0.962979	140.537359	28	27
0.972423	146.929294	29	0
1.018364	153.870782	29	1
0.989382	149.491626	29	2
1.024618	154.815727	29	3
0.965585	145.896044	29	4
1.024962	154.867705	29	5
1.035477	156.456474	29	6
1.035374	156.440968	29	7
0.984302	148.724182	29	8
0.975099	147.333541	29	9
0.985309	148.876315	29	10
1.059790	160.130008	29	11
1.001486	151.320632	29	12
0.989380	149.491323	29	13
0.994911	150.327176	29	14
0.978548	147.854771	29	15
0.960024	145.055839	29	16
0.971578	146.801652	29	17
0.993098	150.053123	29	18
1.030257	155.667746	29	19
1.061239	160.348977	29	20
1.024094	154.736595	29	21
1.001709	151.354229	29	22
0.989987	149.583046	29	23
0.983685	148.630973	29	24
0.991687	149.839915	29	25
1.005864	151.982071	29	26
0.986663	149.080870	29	27
0.965105	145.823508	29	28
1.001748	157.074982	30	0
1.006815	157.869444	30	1
0.980951	153.814048	30	2
0.997987	156.485205	30	3
1.024270	160.606385	30	4
1.026616	160.974318	30	5
0.978090	153.365409	30	6
0.982073	153.989936	30	7
0.976508	153.117276	30	8
1.010886	158.507865	30	9
1.040160	163.097973	30	10
1.040083	163.085932	30	11
1.022265	160.292124	30	12
0.994020	155.863272	30	13
1.000184	156.829713	30	14
0.968306	151.831259	30	15
1.034278	162.175672	30	16
0.980196	153.695564	30	17
1.001269	156.999836	30	18
1.039921	163.060514	30	19
0.968194	151.813747	30	20
1.023834	160.538125	30	21
0.972409	152.474553	30	22
1.027685	161.141903	30	23
1.011506	158.605041	30	24
0.977884	153.333099	30	25
0.973495	152.644899	30	26
0.975719	152.993592	30	27
0.981402	153.884663	30	28
0.981245	153.860002	30	29
1.052476	168.968257	31	0
1.000016	160.546009	31	1
0.966371	155.144529	31	2
0.932781	149.751920	31	3
1.018088	163.447359	31	4
0.956273	153.523432	31	5
0.989306	158.826607	31	6
1.025289	164.603524	31	7
1.000717	160.658595	31	8
1.018041	163.439910	31	9
1.016913	163.258807	31	10
0.978756	157.132942	31	11
0.984392	158.037817	31	12
1.003263	161.067418	31	13
1.018872	163.573223	31	14
0.993896	159.563491	31	15
1.026327	164.770114	31	16
0.964187	154.793967	31	17
1.045378	167.828660	31	18
1.057740	169.813333	31	19
1.013801	162.759140	31	20
1.002186	160.894403	31	21
0.955933	153.468794	31	22
0.991172	159.126183	31	23
0.996350	159.957453	31	24
0.993010	159.421272	31	25
1.008703	161.940704	31	26
0.981814	157.623859	31	27
1.002568	160.955756	31	28
1.000527	160.628185	31	29
1.004856	161.323042	31	30
1.068312	179.110744	32	0
0.972664	163.074668	32	1
0.966595	162.057075	32	2
0.973305	163.182122	32	3
1.006841	168.804737	32	4
1.030705	172.805586	32	5
0.994896	166.801925	32	6
0.973568	163.226179	32	7
1.010921	169.488675	32	8
0.972752	163.089340	32	9
0.999514	167.576271	32	10
0.994280	166.698762	32	11
1.013468	169.915725	32	12
1.019791	170.975856	32	13
1.018450	170.751016	32	14
1.012435	169.742599	32	15
0.967588	162.223616	32	16
1.020280	171.057754	32	17
1.022794	171.479346	32	18
0.989001	165.813585	32	19
1.013621	169.941469	32	20
0.988690	165.761431	32	21
1.031934	173.011691	32	22
0.993727	166.606017	32	23
1.010667	169.446174	32	24
1.007630	168.936946	32	25
1.004342	168.385743	32	26
1.003599	168.261073	32	27
0.971153	162.821367	32	28
0.954699	160.062582	32	29
0.998204	167.356684	32	30
0.993574	166.580338	32	31
1.061294	185.145162	33	0
0.964755	168.303657	33	1
0.988448	172.437090	33	2
1.028578	179.437810	33	3
1.001088	174.642094	33	4
0.962832	167.968221	33	5
1.014203	176.930030	33	6
1.035653	180.672092	33	7
0.992061	173.067404	33	8
1.029971	179.680751	33	9
1.004531	175.242706	33	10
0.980646	171.075962	33	11
1.001110	174.645917	33	12
1.030357	179.748196	33	13
1.001590	174.729640	33	14
0.979798	170.928105	33	15
0.983178	171.517749	33	16
1.038481	181.165412	33	17
0.989841	172.680135	33	18
0.984748	171.791520	33	19
1.018489	177.677820	33	20
1.007043	175.680980	33	21
0.966634	168.631456	33	22
1.026796	179.126936	33	23
0.985367	171.899517	33	24
1.019758	177.899204	33	25
1.000877	174.605364	33	26
1.003021	174.979343	33	27
1.021575	178.216119	33	28
0.975968	170.259833	33	29
0.918520	160.238003	33	30
1.008145	175.873272	33	31
0.974643	170.028805	33	32
1.049467	187.537984	34	0
0.983506	175.750733	34	1
1.015726	181.508466	34	2
0.977118	174.609327	34	3
0.996547	178.081264	34	4
1.020007	182.273441	34	5
0.949653	169.701301	34	6
0.960934	171.717167	34	7
1.034718	184.902309	34	8
0.999766	178.656500	34	9
0.969279	173.208447	34	10
0.954204	170.514505	34	11
0.998991	178.517950	34	12
1.027275	183.572322	34	13
1.029597	183.987242	34	14
1.023356	182.871870	34	15
1.009485	180.393209	34	16
0.990571	177.013373	34	17
0.997854	178.314753	34	18
0.982733	175.612609	34	19
1.032211	184.454303	34	20
0.996037	177.990105	34	21
1.025166	183.195321	34	22
1.038546	185.586439	34	23
1.000898	178.858769	34	24
0.994657	177.743476	34	25
0.983348	175.722574	34	26
1.036289	185.183064	34	27
1.028052	183.711007	34	28
0.968745	173.113116	34	29
0.982862	175.635798	34	30
0.949318	169.641438	34	31
1.026444	183.423750	34	32
0.966639	172.736619	34	33
1.013824	185.786594	35	0
0.990993	181.602667	35	1
1.005218	184.209424	35	2
0.961070	176.119226	35	3
0.985624	180.618775	35	4
0.998733	183.021007	35	5
0.996432	182.599425	35	6
1.022794	187.430309	35	7
0.991483	181.692546	35	8
1.007949	184.709865	35	9
0.967573	177.310931	35	10
1.010438	185.166080	35	11
0.985919	180.672878	35	12
1.003418	183.879574	35	13
0.968597	177.498649	35	14
0.985941	180.676841	35	15
0.967625	177.320472	35	16
1.044181	191.349635	35	17
1.006640	184.470026	35	18
0.998710	183.016847	35	19
1.019610	186.846820	35	20
1.041398	190.839646	35	21
0.994031	182.159503	35	22
0.997052	182.712956	35	23
1.027511	188.294781	35	24
1.021638	187.218502	35	25
0.983723	180.270475	35	26
0.989484	181.326099	35	27
1.004496	184.077204	35	28
1.047504	191.958581	35	29
0.968955	177.564201	35	30
0.999958	183.245531	35	31
1.006072	184.365901	35	32
1.021801	187.248337	35	33
0.963608	176.584326	35	34
0.989184	186.439513	36	0
0.988883	186.382691	36	1
0.993428	187.239366	36	2
1.015545	191.407902	36	3
0.980290	184.763244	36	4
0.981454	184.982648	36	5
0.989212	186.444860	36	6
1.000885	188.644857	36	7
1.011460	190.638060	36	8
1.014601	191.230062	36	9
1.001728	188.803819	36	10
1.026084	193.394436	36	11
0.969484	182.726398	36	12
0.984683	185.591095	36	13
1.014136	191.142392	36	14
1.026613	193.494014	36	15
0.996495	187.817437	36	16
1.025261	193.239250	36	17
1.015361	191.373332	36	18
0.985339	185.714803	36	19
0.983004	185.274729	36	20
1.004826	189.387740	36	21
1.014129	191.141001	36	22
1.003448	189.128020	36	23
1.019055	192.069490	36	24
0.988064	186.228379	36	25
0.969823	182.790306	36	26
0.979317	184.579820	36	27
0.958724	180.698427	36	28
1.027470	193.655486	36	29
0.998588	188.211988	36	30
1.012683	190.868535	36	31
1.019467	192.147177	36	32
1.023735	192.951679	36	33
1.014516	191.214010	36	34
0.973026	183.394133	36	35
0.977882	188.918068	37	0
0.992102	191.665352	37	1
0.976148	188.583189	37	2
1.036218	200.188174	37	3
1.027463	198.496692	37	4
0.990024	191.263931	37	5
0.957528	184.985931	37	6
0.956318	184.752124	37	7
1.048459	202.552951	37	8
0.982777	189.863825	37	9
1.013429	195.785612	37	10
0.966422	186.704251	37	11
0.975518	188.461541	37	12
1.026014	198.216870	37	13
1.003130	193.795763	37	14
0.989587	191.179405	37	15
0.975880	188.531437	37	16
0.963052	186.053090	37	17
1.053645	203.554858	37	18
0.976338	188.619936	37	19
0.983628	190.028269	37	20
1.037789	200.491601	37	21
0.985400	190.370493	37	22
1.030508	199.085083	37	23
0.993117	191.861371	37	24
1.059580	204.701418	37	25
0.998190	192.841544	37	26
0.975482	188.454455	37	27
0.973910	188.150884	37	28
0.987205	190.719246	37	29
1.012402	195.587163	37	30
1.006460	194.439251	37	31
1.035349	200.020331	37	32
1.027696	198.541845	37	33
1.009484	195.023416	37	34
1.008110	194.757887	37	35
0.987755	190.825603	37	36
0.966881	192.651510	38	0
0.973804	194.030879	38	1
0.981772	195.618548	38	2
1.033335	205.892340	38	3
0.997399	198.732129	38	4
0.965775	192.430990	38	5
0.986200	196.500640	38	6
1.010796	201.401419	38	7
1.008141	200.872433	38	8
0.997554	198.763018	38	9
1.027346	204.699131	38	10
0.997986	198.849060	38	11
1.008049	200.854143	38	12
0.969607	193.194594	38	13
0.981140	195.492576	38	14
1.039368	207.094459	38	15
1.001669	199.582964	38	16
0.983925	196.047454	38	17
1.034938	206.211797	38	18
1.040949	207.409559	38	19
1.015133	202.265641	38	20
0.997589	198.769918	38	21
0.959484	191.177509	38	22
1.011900	201.621478	38	23
0.977666	194.800401	38	24
0.992626	197.781212	38	25
0.979228	195.111603	38	26
1.008341	200.912435	38	27
1.012410	201.723076	38	28
1.035817	206.387033	38	29
0.974334	194.136386	38	30
0.992158	197.687797	38	31
1.029922	205.212453	38	32
1.042104	207.639546	38	33
1.012495	201.740029	38	34
0.965666	192.409354	38	35
0.993876	198.030194	38	36
0.992616	197.779226	38	37
0.975003	198.815966	39	0
0.972610	198.327965	39	1
1.004147	204.758719	39	2
1.039988	212.067181	39	3
0.979874	199.809123	39	4
0.982108	200.264674	39	5
0.979348	199.701938	39	6
1.031000	210.234425	39	7
0.961740	196.111427	39	8
1.014800	206.931020	39	9
1.028413	209.706816	39	10
0.988559	201.580103	39	11
1.022305	208.461317	39	12
0.990488	201.973526	39	13
0.956014	194.943868	39	14
1.001056	204.128418	39	15
0.962044	196.173285	39	16
0.975583	198.934078	39	17
0.986189	201.096826	39	18
1.032788	210.598959	39	19
0.973759	198.562143	39	20
1.010205	205.994002	39	21
1.019968	207.984748	39	22
1.037417	211.542972	39	23
0.971034	198.006515	39	24
1.031277	210.290980	39	25
1.050090	214.127119	39	26
0.975318	198.880097	39	27
1.016949	207.369309	39	28
1.033548	210.753934	39	29
0.969216	197.635907	39	30
1.013326	206.630397	39	31
0.990032	201.880540	39	32
1.011793	206.317797	39	33
1.064318	217.028462	39	34
0.997984	203.502013	39	35
0.972830	198.372822	39	36
0.959722	195.699937	39	37
1.017157	207.411715	39	38
0.987952	208.203320	40	0
0.971200	204.673006	40	1
1.002546	211.278871	40	2
1.002106	211.186277	40	3
0.999280	210.590667	40	4
1.028223	216.690111	40	5
0.983420	207.248220	40	6
0.994598	209.603928	40	7
0.980886	206.714202	40	8
1.017183	214.363598	40	9
0.999422	210.620533	40	10
0.973291	205.113733	40	11
0.956445	201.563451	40	12
0.977258	205.949734	40	13
0.976699	205.831818	40	14
1.002434	211.255447	40	15
1.019765	214.907793	40	16
0.985609	207.709636	40	17
1.002786	211.329427	40	18
1.082291	228.084696	40	19
1.051210	221.534568	40	20
1.030512	217.172534	40	21
1.035981	218.325058	40	22
1.003405	211.459909	40	23
1.026444	216.315270	40	24
1.002194	211.204673	40	25
0.986060	207.804623	40	26
0.990646	208.771185	40	27
0.959556	202.219124	40	28
0.966081	203.594215	40	29
0.973106	205.074697	40	30
1.028144	216.673519	40	31
1.022779	215.542945	40	32
1.018833	214.711371	40	33
0.993612	209.396125	40	34
1.043228	219.852422	40	35
0.988421	208.302258	40	36
0.982719	207.100469	40	37
0.938125	197.702682	40	38
1.015552	214.019862	40	39
1.003696	214.964537	41	0
0.985727	211.116096	41	1
0.997672	213.674414	41	2
0.995430	213.194166	41	3
1.044919	223.793307	41	4
1.059042	226.818133	41	5
0.961705	205.971253	41	6
1.026372	219.821117	41	7
0.987864	211.573632	41	8
0.996686	213.463172	41	9
0.945939	202.594516	41	10
1.040449	222.835951	41	11
1.021039	218.678799	41	12
1.004536	215.144468	41	13
0.987369	211.467781	41	14
0.995538	213.217362	41	15
1.009556	216.219453	41	16
0.992408	212.546906	41	17
1.026795	219.911737	41	18
0.992644	212.597403	41	19
1.028212	220.215193	41	20
0.980388	209.972491	41	21
1.030427	220.689444	41	22
0.971146	207.993130	41	23
0.983872	210.718810	41	24
0.985939	211.161326	41	25
0.983603	210.661137	41	26
0.995867	213.287815	41	27
0.978933	209.660840	41	28
0.994471	212.988688	41	29
0.997050	213.541183	41	30
0.954130	204.348881	41	31
1.037937	222.297887	41	32
1.001043	214.396293	41	33
1.026151	219.773655	41	34
0.968881	207.508119	41	35
1.007005	215.673189	41	36
1.016563	217.720351	41	37
1.002849	214.783134	41	38
0.954552	204.439267	41	39
1.025594	219.654356	41	40
1.008208	223.870471	42	0
0.982277	218.112516	42	1
0.973900	216.252412	42	2
0.995758	221.105995	42	3
0.998716	221.762740	42	4
1.028814	228.446097	42	5
0.973945	216.262526	42	6
0.981377	217.912799	42	7
0.985512	218.830771	42	8
1.026078	227.838404	42	9
0.981623	217.967361	42	10
1.030694	228.863487	42	11
1.019047	226.277174	42	12
0.973730	216.214800	42	13
0.991323	220.121101	42	14
1.008326	223.896623	42	15
0.977196	216.984232	42	16
0.992826	220.455022	42	17
0.991688	220.202255	42	18
1.056163	234.518740	42	19
1.110726	246.634397	42	20
1.044634	231.958729	42	21
1.034058	229.610375	42	22
1.017581	225.951723	42	23
1.008314	223.894113	42	24
0.983214	218.320685	42	25
0.963476	213.937747	42	26
0.987689	219.314298	42	27
1.014358	225.236056	42	28
0.983902	218.473294	42	29
0.986420	219.032603	42	30
0.945435	209.931783	42	31
0.975496	216.606776	42	32
1.014290	225.221033	42	33
1.026560	227.945441	42	34
0.988596	219.515575	42	35
0.965873	214.470176	42	36
0.981214	217.876528	42	37
1.018579	226.173436	42	38
0.995126	220.965596	42	39
0.969609	215.299538	42	40
1.007650	223.746660	42	41
1.036701	232.557072	43	0
1.005092	225.466284	43	1
0.983463	220.614467	43	2
1.022456	229.361560	43	3
1.004261	225.280020	43	4
0.997677	223.802945	43	5
0.998378	223.960169	43	6
1.014382	227.550333	43	7
1.009197	226.387257	43	8
0.996444	223.526366	43	9
0.976893	219.140728	43	10
1.024717	229.868845	43	11
0.974695	218.647490	43	12
1.017217	228.186413	43	13
1.000330	224.398047	43	14
0.960796	215.529657	43	15
0.999175	224.139065	43	16
0.973748	218.435138	43	17
1.005126	225.473895	43	18
1.021527	229.153176	43	19
0.977788	219.341324	43	20
1.037881	232.821716	43	21
0.997788	223.828025	43	22
1.020586	228.942083	43	23
0.946152	212.244728	43	24
0.941170	211.127172	43	25
1.012686	227.169859	43	26
0.981155	220.096752	43	27
1.027900	230.582764	43	28
0.959528	215.245184	43	29
0.924629	207.416696	43	30
1.005422	225.540372	43	31
1.001998	224.772392	43	32
1.003306	225.065778	43	33
1.016364	227.995057	43	34
1.015960	227.904416	43	35
1.022369	229.341998	43	36
1.003692	225.152235	43	37
1.019012	228.589039	43	38
1.026519	230.272963	43	39
1.016724	228.075794	43	40
1.000504	224.437262	43	41
1.018591	228.494574	43	42
1.036783	239.744237	44	0
1.001784	231.651199	44	1
0.973827	225.186422	44	2
1.020857	236.061503	44	3
1.014781	234.656540	44	4
0.998707	230.939536	44	5
1.011299	233.851336	44	6
1.000522	231.359427	44	7
0.952147	220.173250	44	8
0.973382	225.083576	44	9
0.991507	229.274740	44	10
1.000949	231.458126	44	11
0.984359	227.621950	44	12
0.979105	226.406834	44	13
0.986397	228.093199	44	14
0.998939	230.993349	44	15
0.995819	230.271730	44	16
0.974452	225.330948	44	17
0.970789	224.484034	44	18
1.004521	232.284139	44	19
1.046561	242.005231	44	20
1.136600	262.825813	44	21
1.028087	237.733342	44	22
1.022029	236.332617	44	23
1.028869	237.914263	44	24
0.985306	227.840711	44	25
0.997164	230.582960	44	26
0.977470	226.028913	44	27
1.010921	233.764064	44	28
1.010556	233.679655	44	29
0.998127	230.805538	44	30
0.974461	225.332959	44	31
0.992145	229.422248	44	32
0.999312	231.079628	44	33
0.941132	217.626069	44	34
0.976581	225.823354	44	35
0.970693	224.461773	44	36
0.984709	227.702660	44	37
0.995435	230.183101	44	38
1.012300	234.082860	44	39
1.011258	233.842008	44	40
1.013444	234.347471	44	41
1.011832	233.974603	44	42
1.004080	232.182200	44	43
1.047748	248.122095	45	0
1.005624	238.146569	45	1
0.980201	232.125929	45	2
1.021819	241.981635	45	3
1.037875	245.784028	45	4
1.002614	237.433750	45	5
1.007646	238.625305	45	6
1.002311	237.361885	45	7
0.993569	235.291694	45	8
0.974002	230.657997	45	9
0.973292	230.489653	45	10
0.944734	223.726770	45	11
1.034080	244.885262	45	12
1.034393	244.959470	45	13
0.967593	229.140058	45	14
1.012437	239.759787	45	15
1.012882	239.865169	45	16
1.012716	239.826032	45	17
1.020649	241.704684	45	18
0.995505	235.750201	45	19
0.997612	236.249164	45	20
0.937550	222.025651	45	21
1.034260	244.927944	45	22
1.004603	237.904637	45	23
1.016483	240.718085	45	24
0.987562	233.869034	45	25
1.019981	241.546340	45	26
1.005710	238.166841	45	27
0.975235	230.949976	45	28
0.956260	226.456414	45	29
1.004138	237.794524	45	30
1.009106	238.971007	45	31
0.983620	232.935490	45	32
1.009785	239.131940	45	33
0.979730	232.014493	45	34
1.030157	243.956214	45	35
1.021829	241.983957	45	36
0.970486	229.825364	45	37
0.975682	231.055649	45	38
0.972903	230.397725	45	39
0.998630	236.490223	45	40
1.011066	239.435098	45	41
1.007168	238.512130	45	42
1.016542	240.732028	45	43
0.992210	234.969754	45	44
1.061557	256.401651	46	0
1.016210	245.448784	46	1
0.985163	237.949790	46	2
1.020007	246.365889	46	3
1.040260	251.257610	46	4
0.977330	236.058073	46	5
1.016170	245.439036	46	6
0.968538	233.934494	46	7
0.988063	238.650271	46	8
0.961556	232.247979	46	9
1.017551	245.772658	46	10
1.025053	247.584622	46	11
1.006517	243.107687	46	12
1.004134	242.532123	46	13
1.031024	249.026952	46	14
1.001787	241.965229	46	15
0.999129	241.323103	46	16
0.988087	238.656170	46	17
