SCORE	StdDev	width	second
0.954192	90.613218	18	16
1.018963	96.764048	18	17
1.014234	101.085020	19	0
0.995151	99.183068	19	1
1.015808	101.241896	19	2
1.041167	103.769382	19	3
1.020536	101.713150	19	4
0.964586	96.136767	19	5
0.969879	96.664305	19	6
1.036057	103.260033	19	7
1.013958	101.057580	19	8
0.999415	99.608084	19	9
1.010299	100.692827	19	10
0.968024	96.479511	19	11
0.991591	98.828332	19	12
0.987118	98.382446	19	13
0.948676	94.551094	19	14
1.005938	100.258216	19	15
1.002166	99.882227	19	16
1.006249	100.289249	19	17
1.009150	100.578358	19	18
1.005636	105.066976	20	0
0.979308	102.316286	20	1
0.999615	104.438016	20	2
0.964026	100.719736	20	3
1.021448	106.718989	20	4
0.985040	102.915241	20	5
1.033856	108.015384	20	6
0.997114	104.176616	20	7
1.026169	107.212244	20	8
1.000652	104.546351	20	9
1.031842	107.804960	20	10
0.989776	103.410045	20	11
1.066607	111.437138	20	12
0.998189	104.288961	20	13
0.930300	97.196036	20	14
0.939086	98.113967	20	15
0.965660	100.890357	20	16
1.011543	105.684162	20	17
1.022256	106.803431	20	18
1.031879	107.808855	20	19
0.950298	105.332562	21	0
1.005087	111.405441	21	1
1.020847	113.152278	21	2
1.029720	114.135818	21	3
0.991197	109.865889	21	4
0.990126	109.747114	21	5
0.983184	108.977727	21	6
1.001379	110.994407	21	7
1.024833	113.594126	21	8
1.027192	113.855636	21	9
0.997691	110.585697	21	10
1.021989	113.278845	21	11
0.996029	110.401492	21	12
1.008852	111.822745	21	13
0.960716	106.487308	21	14
1.014157	112.410797	21	15
0.986079	109.298588	21	16
0.994067	110.183944	21	17
1.022167	113.298632	21	18
0.997747	110.591926	21	19
0.976643	108.252642	21	20
0.965857	111.286408	22	0
1.049675	120.943946	22	1
1.031455	118.844589	22	2
0.962103	110.853841	22	3
0.986453	113.659480	22	4
0.964813	111.166053	22	5
1.035935	119.360734	22	6
1.032097	118.918566	22	7
1.046499	120.577964	22	8
1.020279	117.556877	22	9
0.959534	110.557773	22	10
1.003849	115.663827	22	11
0.996450	114.811233	22	12
0.968499	111.590777	22	13
0.997009	114.875685	22	14
0.990417	114.116149	22	15
1.027581	118.398171	22	16
1.015387	116.993222	22	17
0.987893	113.825382	22	18
1.007164	116.045803	22	19
0.970523	111.823988	22	20
0.980527	112.976617	22	21
1.007891	120.759480	23	0
1.006925	120.643717	23	1
0.989943	118.609033	23	2
0.952826	114.161914	23	3
1.011836	121.232094	23	4
0.993816	119.073107	23	5
1.022717	122.535795	23	6
0.987196	118.279867	23	7
1.020787	122.304582	23	8
0.998938	119.686777	23	9
1.000409	119.863064	23	10
1.032178	123.669377	23	11
0.970333	116.259528	23	12
0.983442	117.830105	23	13
1.048451	125.619191	23	14
0.965899	115.728299	23	15
1.014219	121.517619	23	16
1.020909	122.319180	23	17
0.976481	116.996165	23	18
0.998572	119.642923	23	19
0.993918	119.085260	23	20
0.971084	116.349458	23	21
1.031232	123.555998	23	22
1.014041	127.710539	24	0
0.971426	122.343506	24	1
0.996372	125.485354	24	2
0.990438	124.737913	24	3
0.972164	122.436444	24	4
1.020621	128.539295	24	5
0.998868	125.799678	24	6
1.010308	127.240406	24	7
1.010936	127.319519	24	8
0.998780	125.788510	24	9
1.019556	128.405184	24	10
0.993310	125.099719	24	11
0.995281	125.347854	24	12
1.000377	125.989713	24	13
0.999373	125.863255	24	14
0.950128	119.661178	24	15
0.980004	123.423815	24	16
0.998850	125.797348	24	17
1.051720	132.455910	24	18
0.975900	122.907009	24	19
1.006081	126.708124	24	20
0.980753	123.518239	24	21
0.998481	125.750869	24	22
1.066232	134.283665	24	23
0.993395	130.220728	25	0
0.962140	126.123519	25	1
1.034664	135.630518	25	2
1.042922	136.713010	25	3
0.998933	130.946589	25	4
0.972170	127.438416	25	5
0.984065	128.997693	25	6
1.001719	131.311833	25	7
0.939201	123.116603	25	8
1.006805	131.978553	25	9
0.979455	128.393302	25	10
0.993176	130.191980	25	11
1.019469	133.638666	25	12
0.973294	127.585739	25	13
1.032927	135.402834	25	14
1.025219	134.392355	25	15
1.001932	131.339761	25	16
1.005133	131.759371	25	17
1.013211	132.818255	25	18
0.969700	127.114621	25	19
0.984608	129.068847	25	20
0.998690	130.914792	25	21
0.996248	130.594689	25	22
1.016352	133.230010	25	23
1.054570	138.239907	25	24
0.993847	135.382372	26	0
0.996493	135.742759	26	1
1.016800	138.508935	26	2
0.968426	131.919434	26	3
0.992705	135.226698	26	4
1.016524	138.471435	26	5
1.027640	139.985670	26	6
0.969500	132.065739	26	7
0.981990	133.767124	26	8
0.943185	128.481087	26	9
1.043188	142.103532	26	10
0.988173	134.609405	26	11
0.984293	134.080825	26	12
1.014009	138.128777	26	13
1.030288	140.346399	26	14
1.020421	139.002293	26	15
0.969734	132.097648	26	16
1.003627	136.714557	26	17
1.020201	138.972274	26	18
0.998103	135.962075	26	19
0.963581	131.259435	26	20
1.048420	142.816236	26	21
0.978031	133.227833	26	22
0.996086	135.687285	26	23
1.005573	136.979589	26	24
1.029164	140.193285	26	25
1.003600	141.949036	27	0
1.026116	145.133754	27	1
0.990741	140.130216	27	2
1.003129	141.882361	27	3
1.010357	142.904696	27	4
0.985284	139.358478	27	5
1.023758	144.800164	27	6
0.988443	139.805151	27	7
0.999852	141.418964	27	8
0.941963	133.231099	27	9
0.971240	137.372011	27	10
1.023792	144.804963	27	11
1.023653	144.785329	27	12
1.018730	144.088971	27	13
1.014799	143.532979	27	14
0.932707	131.921999	27	15
1.013351	143.328242	27	16
0.977661	138.280157	27	17
1.034407	146.306387	27	18
1.049096	148.383984	27	19
0.990894	140.151946	27	20
1.014523	143.493908	27	21
0.974621	137.850241	27	22
0.964668	136.442478	27	23
1.001096	141.594801	27	24
0.996670	140.968789	27	25
1.024850	144.954603	27	26
1.007120	146.935792	28	0
1.028903	150.113774	28	1
1.004865	146.606776	28	2
1.021227	148.993907	28	3
1.052764	153.595105	28	4
1.018075	148.533964	28	5
1.025237	149.578946	28	6
0.988771	144.258684	28	7
1.007296	146.961450	28	8
0.992226	144.762771	28	9
0.959448	139.980534	28	10
0.996970	145.454824	28	11
0.983809	143.534789	28	12
0.999816	145.870136	28	13
1.006856	146.897214	28	14
0.970023	141.523369	28	15
0.989422	144.353586	28	16
0.984383	143.618515	28	17
0.966293	140.979268	28	18
1.011982	147.645141	28	19
1.014137	147.959536	28	20
0.957501	139.696542	28	21
0.998873	145.732570	28	22
1.003746	146.443539	28	23
1.008086	147.076608	28	24
1.002773	146.301452	28	25
0.958272	139.808890	28	26
1.041124	151.896789	28	27
1.006574	153.460191	29	0
1.007749	153.639335	29	1
0.997251	152.038932	29	2
0.968089	147.592830	29	3
0.957654	146.001966	29	4
0.991678	151.189143	29	5
0.945874	144.205962	29	6
0.972575	148.276850	29	7
1.010112	153.999647	29	8
0.966138	147.295416	29	9
1.002985	152.913083	29	10
1.037848	158.228142	29	11
0.966329	147.324600	29	12
0.983235	149.902083	29	13
1.025763	156.385785	29	14
0.994130	151.563055	29	15
1.019297	155.399981	29	16
1.006674	153.475526	29	17
0.987374	150.533011	29	18
1.004335	153.118874	29	19
1.014879	154.726442	29	20
0.985125	150.190232	29	21
1.052658	160.486120	29	22
1.031292	157.228700	29	23
1.040665	158.657605	29	24
1.020889	155.642630	29	25
1.000169	152.483747	29	26
0.969875	147.865150	29	27
1.032784	157.456099	29	28
1.026883	160.766780	30	0
0.976400	152.863247	30	1
1.032450	161.638289	30	2
0.972585	152.266046	30	3
0.987925	154.667561	30	4
1.064568	166.666645	30	5
0.982790	153.863674	30	6
0.993453	155.533057	30	7
0.999153	156.425402	30	8
1.013768	158.713578	30	9
1.007227	157.689434	30	10
1.008836	157.941383	30	11
0.986625	154.464048	30	12
1.031456	161.482726	30	13
1.007769	157.774362	30	14
0.962078	150.621091	30	15
0.968175	151.575652	30	16
0.997216	156.122250	30	17
1.038241	162.544979	30	18
0.987676	154.628587	30	19
1.030099	161.270372	30	20
1.011604	158.374809	30	21
0.967553	151.478275	30	22
0.966612	151.330833	30	23
0.980879	153.564496	30	24
0.966965	151.386163	30	25
0.983612	153.992427	30	26
1.001598	156.808290	30	27
1.016911	159.205619	30	28
1.028894	161.081597	30	29
1.039810	167.644171	31	0
0.982090	158.338198	31	1
1.038894	167.496404	31	2
1.010285	162.883922	31	3
0.988181	159.320252	31	4
0.982438	158.394284	31	5
0.976449	157.428639	31	6
0.964390	155.484546	31	7
1.006341	162.248011	31	8
1.001136	161.408959	31	9
1.034071	166.718787	31	10
0.961898	155.082670	31	11
0.985552	158.896288	31	12
0.970863	156.528059	31	13
0.966628	155.845341	31	14
1.044243	168.358917	31	15
0.991423	159.842842	31	16
0.992816	160.067565	31	17
1.003516	161.792658	31	18
0.983526	158.569702	31	19
1.017309	164.016339	31	20
1.026218	165.452780	31	21
0.999327	161.117191	31	22
1.045700	168.593775	31	23
0.995735	160.538049	31	24
0.976746	157.476666	31	25
0.946726	152.636666	31	26
1.006226	162.229482	31	27
1.014285	163.528853	31	28
1.038028	167.356883	31	29
1.009149	162.700845	31	30
1.018429	172.170329	32	0
0.963603	162.901802	32	1
0.994915	168.195290	32	2
1.044717	176.614435	32	3
0.992316	167.755793	32	4
1.000693	169.172020	32	5
0.996337	168.435667	32	6
1.015677	171.705238	32	7
1.044886	176.643119	32	8
1.025791	173.414980	32	9
0.972133	164.343793	32	10
1.012092	171.099042	32	11
1.013067	171.263899	32	12
1.023139	172.966598	32	13
0.990781	167.496332	32	14
0.975071	164.840544	32	15
0.966218	163.343872	32	16
0.985591	166.619000	32	17
0.972721	164.443178	32	18
0.968807	163.781613	32	19
0.993535	167.961980	32	20
1.007149	170.263435	32	21
1.004554	169.824683	32	22
1.011392	170.980768	32	23
1.016477	171.840402	32	24
0.987855	167.001800	32	25
1.006732	170.192889	32	26
0.985395	166.585924	32	27
1.030756	174.254424	32	28
0.986779	166.819783	32	29
0.996229	168.417299	32	30
0.996165	168.406518	32	31
1.007377	174.274569	33	0
0.971046	167.989426	33	1
0.962692	166.544243	33	2
1.005119	173.884029	33	3
0.990803	171.407290	33	4
1.009745	174.684299	33	5
1.052299	182.046141	33	6
1.015001	175.593598	33	7
0.966619	167.223497	33	8
0.994471	172.041869	33	9
1.024936	177.312311	33	10
1.031151	178.387490	33	11
0.971007	167.982699	33	12
0.998645	172.763971	33	13
1.014220	175.458416	33	14
0.958541	165.826102	33	15
1.034343	178.939778	33	16
1.011502	174.988286	33	17
0.975665	168.788468	33	18
0.993977	171.956486	33	19
1.016402	175.835923	33	20
1.015446	175.670558	33	21
0.996713	172.429783	33	22
0.984016	170.233215	33	23
0.968043	167.469941	33	24
1.017185	175.971331	33	25
1.001530	173.263155	33	26
0.967428	167.363454	33	27
1.016115	175.786382	33	28
1.033745	178.836319	33	29
0.987638	170.859901	33	30
0.992154	171.641163	33	31
1.014426	175.494158	33	32
0.986098	176.069267	34	0
0.984893	175.854083	34	1
0.980867	175.135200	34	2
0.958411	171.125773	34	3
0.989751	176.721468	34	4
1.029154	183.756949	34	5
0.973376	173.797709	34	6
1.025915	183.178763	34	7
0.989557	176.686932	34	8
1.043416	186.303540	34	9
1.021380	182.368937	34	10
1.056728	188.680471	34	11
0.961608	171.696493	34	12
1.018536	181.861157	34	13
1.009830	180.306754	34	14
0.978310	174.678764	34	15
0.968764	172.974266	34	16
0.992528	177.217449	34	17
1.031477	184.171731	34	18
1.004702	179.391132	34	19
1.025942	183.183562	34	20
1.035018	184.804020	34	21
1.028917	183.714740	34	22
1.007099	179.819093	34	23
0.979945	174.970692	34	24
0.968363	172.902728	34	25
0.984145	175.720494	34	26
0.992007	177.124310	34	27
1.017109	181.606394	34	28
0.989068	176.599518	34	29
1.024439	182.915165	34	30
0.951799	169.945166	34	31
0.980917	175.144170	34	32
1.009930	180.324531	34	33
0.977317	179.176717	35	0
1.011212	185.390858	35	1
0.991296	181.739630	35	2
0.943037	172.892034	35	3
1.025249	187.964370	35	4
0.974981	178.748520	35	5
0.955993	175.267288	35	6
0.971143	178.044904	35	7
0.983227	180.260285	35	8
0.981957	180.027524	35	9
1.026352	188.166636	35	10
0.999923	183.321190	35	11
1.015663	186.206980	35	12
1.006189	184.469993	35	13
0.982925	180.204986	35	14
1.066753	195.573616	35	15
0.989722	181.451050	35	16
1.028530	188.565871	35	17
1.008410	184.877260	35	18
1.011859	185.509586	35	19
0.996036	182.608673	35	20
0.998048	182.977423	35	21
1.033166	189.415909	35	22
1.016221	186.309183	35	23
0.982649	180.154264	35	24
1.026174	188.133959	35	25
1.018251	186.681337	35	26
1.018166	186.665735	35	27
0.990156	181.530569	35	28
1.023202	187.589012	35	29
0.998155	182.997136	35	30
1.007202	184.655751	35	31
0.950061	174.179700	35	32
0.970436	177.915320	35	33
1.020339	187.064217	35	34
0.964507	182.545512	36	0
1.032040	195.327055	36	1
1.000448	189.347903	36	2
0.972216	184.004614	36	3
1.042494	197.305750	36	4
0.990963	187.552675	36	5
0.963407	182.337458	36	6
1.025806	194.147311	36	7
1.011742	191.485432	36	8
0.992874	187.914440	36	9
0.975204	184.570081	36	10
0.998473	188.974031	36	11
1.002677	189.769681	36	12
0.990634	187.490423	36	13
0.981623	185.785082	36	14
1.111862	210.434524	36	15
0.984958	186.416258	36	16
0.981693	185.798205	36	17
1.024182	193.839907	36	18
1.027892	194.542037	36	19
0.995120	188.339444	36	20
0.951566	180.096265	36	21
1.029815	194.905973	36	22
1.013203	191.761890	36	23
0.971542	183.877044	36	24
1.004722	190.156892	36	25
0.972199	184.001346	36	26
0.957907	181.296456	36	27
1.015330	192.164488	36	28
0.998597	188.997626	36	29
1.041404	197.099358	36	30
0.995892	188.485537	36	31
0.998110	188.905482	36	32
0.982505	185.951964	36	33
0.966725	182.965402	36	34
1.029670	194.878489	36	35
0.957452	186.047601	37	0
1.037203	201.544505	37	1
0.997482	193.826035	37	2
0.996176	193.572254	37	3
0.992512	192.860343	37	4
1.012825	196.807434	37	5
0.970267	188.537654	37	6
0.999040	194.128792	37	7
0.960584	186.656170	37	8
1.024548	199.085401	37	9
1.033386	200.802724	37	10
1.027493	199.657698	37	11
1.043147	202.699367	37	12
0.960476	186.635127	37	13
0.982579	190.930161	37	14
1.011224	196.496304	37	15
0.973723	189.209278	37	16
1.008184	195.905674	37	17
1.005242	195.333954	37	18
1.006083	195.497383	37	19
1.022000	198.590243	37	20
1.020919	198.380254	37	21
1.018703	197.949489	37	22
1.013466	196.931859	37	23
1.010332	196.322874	37	24
1.002755	194.850628	37	25
1.002221	194.746888	37	26
0.967592	188.017965	37	27
1.013217	196.883651	37	28
1.010039	196.266020	37	29
0.970032	188.492156	37	30
0.978532	190.143816	37	31
0.997234	193.777787	37	32
0.958444	186.240318	37	33
0.995590	193.458334	37	34
0.978506	190.138731	37	35
1.040790	202.241353	37	36
0.959087	191.860599	38	0
1.033473	206.741267	38	1
0.999613	199.967611	38	2
0.994803	199.005518	38	3
0.939958	188.034033	38	4
1.001260	200.297136	38	5
0.976405	195.325091	38	6
1.065296	213.107309	38	7
1.020604	204.166835	38	8
0.994860	199.016813	38	9
1.036513	207.349407	38	10
1.005696	201.184453	38	11
0.997517	199.548312	38	12
0.997514	199.547752	38	13
0.974030	194.849977	38	14
1.015597	203.165240	38	15
0.958167	191.676654	38	16
1.014224	202.890487	38	17
0.990329	198.110500	38	18
1.033222	206.690963	38	19
0.964017	192.846917	38	20
1.000343	200.113669	38	21
1.018312	203.708399	38	22
1.000337	200.112551	38	23
1.017648	203.575472	38	24
1.001130	200.271040	38	25
0.999568	199.958697	38	26
1.021418	204.329557	38	27
1.029647	205.975741	38	28
1.029709	205.988164	38	29
0.987310	197.506449	38	30
0.955802	191.203455	38	31
0.939106	187.863549	38	32
1.000446	200.134351	38	33
0.977619	195.567869	38	34
1.008557	201.756861	38	35
0.994194	198.883530	38	36
1.046667	209.380658	38	37
0.978434	199.026695	39	0
1.032284	209.980448	39	1
1.019539	207.387942	39	2
0.972967	197.914718	39	3
0.983977	200.154170	39	4
0.974445	198.215300	39	5
1.046241	212.819541	39	6
0.975402	198.409948	39	7
1.019784	207.437844	39	8
1.019721	207.425144	39	9
1.047076	212.989383	39	10
0.925636	188.286887	39	11
1.007891	205.018576	39	12
0.980756	199.498949	39	13
1.020052	207.492278	39	14
1.009728	205.392322	39	15
0.952346	193.720015	39	16
0.973178	197.957562	39	17
1.015330	206.531842	39	18
0.997179	202.839689	39	19
1.008190	205.079559	39	20
1.005752	204.583506	39	21
1.001877	203.795259	39	22
0.959831	195.242587	39	23
1.016249	206.718791	39	24
0.994239	202.241577	39	25
0.963972	196.084990	39	26
0.994167	202.226982	39	27
0.992275	201.842061	39	28
1.014640	206.391483	39	29
1.022250	207.939408	39	30
0.984255	200.210856	39	31
0.964928	196.279488	39	32
0.994828	202.361437	39	33
1.009182	205.281297	39	34
1.010308	205.510359	39	35
1.031495	209.819963	39	36
1.019130	207.304846	39	37
1.060470	215.713934	39	38
0.982790	206.055253	40	0
1.008739	211.495852	40	1
1.033013	216.585114	40	2
0.981598	205.805308	40	3
1.018393	213.519918	40	4
0.959985	201.273904	40	5
1.032229	216.420789	40	6
0.963415	201.992985	40	7
1.002756	210.241323	40	8
0.996610	208.952863	40	9
0.962181	201.734263	40	10
1.113108	233.378147	40	11
1.028076	215.550136	40	12
1.017165	213.262515	40	13
0.983274	206.156747	40	14
0.987369	207.015346	40	15
0.955929	200.423449	40	16
0.956001	200.438688	40	17
1.033554	216.698574	40	18
0.995015	208.618315	40	19
1.026814	215.285464	40	20
0.950741	199.335709	40	21
1.005808	210.881304	40	22
0.993338	208.266750	40	23
0.998906	209.434139	40	24
1.023746	214.642272	40	25
1.002294	210.144563	40	26
1.001432	209.963786	40	27
1.007686	211.275139	40	28
0.991688	207.920869	40	29
0.970590	203.497307	40	30
0.967588	202.867912	40	31
1.012380	212.259290	40	32
0.972900	203.981650	40	33
0.998513	209.351899	40	34
0.970203	203.416157	40	35
0.996530	208.936047	40	36
1.020025	213.862098	40	37
1.020354	213.931039	40	38
1.057267	221.670464	40	39
1.002534	215.783516	41	0
0.992577	213.640435	41	1
1.051969	226.423847	41	2
1.002936	215.870010	41	3
0.982851	211.546928	41	4
0.999746	215.183488	41	5
0.988652	212.795648	41	6
0.964949	207.693884	41	7
1.020317	219.611013	41	8
0.960287	206.690305	41	9
1.049168	225.821040	41	10
0.999449	215.119555	41	11
0.957276	206.042336	41	12
1.015821	218.643511	41	13
0.981097	211.169453	41	14
1.019387	219.410994	41	15
1.027609	221.180559	41	16
0.996715	214.531021	41	17
1.003350	215.959113	41	18
1.010539	217.506412	41	19
0.994873	214.134582	41	20
1.013777	218.203417	41	21
0.975759	210.020629	41	22
0.969448	208.662248	41	23
0.984365	211.872803	41	24
0.991495	213.407586	41	25
1.026645	220.973088	41	26
1.033568	222.463168	41	27
0.983480	211.682313	41	28
0.986641	212.362726	41	29
0.966079	207.936982	41	30
0.979489	210.823418	41	31
1.001737	215.612035	41	32
0.982219	211.410984	41	33
0.980937	211.135028	41	34
1.043413	224.582217	41	35
0.994566	214.068445	41	36
0.980005	210.934491	41	37
1.016860	218.866939	41	38
1.018223	219.160455	41	39
1.049194	225.826485	41	40
0.996016	220.424282	42	0
0.986172	218.245919	42	1
1.055084	233.496476	42	2
1.006018	222.637866	42	3
0.965403	213.649599	42	4
1.008137	223.106859	42	5
0.994118	220.004394	42	6
0.969852	214.634193	42	7
0.973288	215.394418	42	8
1.029754	227.890669	42	9
0.974667	215.699606	42	10
0.997429	220.737038	42	11
0.991031	219.321199	42	12
1.026440	227.157411	42	13
0.973467	215.434052	42	14
0.991577	219.441876	42	15
0.991390	219.400557	42	16
0.996023	220.425995	42	17
1.008069	223.091760	42	18
1.015767	224.795295	42	19
0.979273	216.719095	42	20
0.991909	219.515465	42	21
0.973775	215.502196	42	22
0.997033	220.649399	42	23
1.034886	229.026602	42	24
1.036246	229.327547	42	25
0.974548	215.673385	42	26
0.978784	216.610849	42	27
0.954601	211.258894	42	28
0.991400	219.402746	42	29
1.032699	228.542578	42	30
1.030659	228.091054	42	31
1.015667	224.773159	42	32
1.015041	224.634742	42	33
1.023692	226.549128	42	34
0.994318	220.048539	42	35
0.981850	217.289260	42	36
1.005852	222.601170	42	37
0.992972	219.750586	42	38
1.006128	222.662209	42	39
1.015171	224.663454	42	40
1.023794	226.571811	42	41
0.994938	226.860499	43	0
0.979919	223.436156	43	1
1.053639	240.245230	43	2
0.964910	220.013856	43	3
0.958265	218.498667	43	4
1.011109	230.547778	43	5
0.948326	216.232336	43	6
1.000138	228.046227	43	7
1.034316	235.839389	43	8
0.968291	220.784758	43	9
1.005673	229.308365	43	10
1.049045	239.197753	43	11
1.067875	243.491248	43	12
1.007788	229.790684	43	13
0.981417	223.777714	43	14
1.043439	237.919507	43	15
0.982025	223.916242	43	16
0.980496	223.567639	43	17
1.045164	238.312763	43	18
1.009520	230.185581	43	19
0.993838	226.609690	43	20
0.986836	225.013205	43	21
1.001778	228.420162	43	22
0.979117	223.253179	43	23
0.981234	223.735898	43	24
1.015168	231.473397	43	25
0.949663	216.537152	43	26
1.009551	230.192564	43	27
0.962243	219.405541	43	28
1.023961	233.478167	43	29
0.991112	225.988102	43	30
0.952509	217.186069	43	31
0.969215	220.995263	43	32
1.047995	238.958452	43	33
1.021720	232.967277	43	34
1.021093	232.824299	43	35
1.030378	234.941389	43	36
0.960233	218.947372	43	37
1.008669	229.991567	43	38
0.990040	225.743699	43	39
1.001991	228.468724	43	40
1.002264	228.531090	43	41
1.013102	231.002178	43	42
1.014217	233.268306	44	0
0.996256	229.137210	44	1
1.066485	245.289717	44	2
0.954649	219.567730	44	3
0.988473	227.347160	44	4
1.009677	232.224147	44	5
0.979122	225.196390	44	6
1.009944	232.285544	44	7
0.979849	225.363701	44	8
0.995698	229.008964	44	9
0.987633	227.153913	44	10
0.959284	220.633816	44	11
0.963081	221.507142	44	12
0.954502	219.533879	44	13
1.026616	236.120022	44	14
0.983381	226.176054	44	15
1.029512	236.786058	44	16
1.034052	237.830235	44	17
1.005097	231.170802	44	18
1.010877	232.500099	44	19
0.979859	225.365899	44	20
0.991283	227.993441	44	21
0.994110	228.643630	44	22
1.016832	233.869809	44	23
1.039951	239.186966	44	24
0.976343	224.557208	44	25
0.924967	212.741024	44	26
1.003333	230.765035	44	27
1.053649	242.337634	44	28
1.056012	242.881009	44	29
0.965932	222.162865	44	30
1.014841	233.411802	44	31
1.013327	233.063636	44	32
0.998255	229.597007	44	33
0.952426	219.056505	44	34
0.987969	227.231240	44	35
0.989587	227.603381	44	36
1.037381	238.595855	44	37
1.019053	234.380613	44	38
0.992095	228.180151	44	39
1.003080	230.706861	44	40
1.013042	232.998126	44	41
1.006531	231.500530	44	42
1.021737	234.997834	44	43
1.018420	239.656867	45	0
0.989828	232.928642	45	1
1.066152	250.889331	45	2
0.961167	226.183948	45	3
0.999885	235.295084	45	4
0.975977	229.669157	45	5
1.002912	236.007476	45	6
1.057288	248.803275	45	7
0.967333	227.634944	45	8
1.028514	242.032307	45	9
0.951029	223.798180	45	10
1.020657	240.183238	45	11
1.004254	236.323400	45	12
1.033786	243.272739	45	13
1.046171	246.187240	45	14
0.985376	231.880999	45	15
0.980940	230.836938	45	16
0.987543	232.390740	45	17
1.023595	240.874778	45	18
1.005827	236.693423	45	19
0.999902	235.299205	45	20
1.020729	240.200156	45	21
1.015456	238.959451	45	22
0.997487	234.730983	45	23
1.018160	239.595707	45	24
1.002573	235.927763	45	25
0.995003	234.146286	45	26
1.012561	238.278164	45	27
1.001887	235.766398	45	28
1.015642	239.003217	45	29
0.965043	227.096091	45	30
1.001897	235.768743	45	31
0.971971	228.726383	45	32
0.983749	231.498064	45	33
0.975198	229.485698	45	34
0.962998	226.614730	45	35
0.999666	235.243552	45	36
0.969983	228.258519	45	37
0.978535	230.271008	45	38
1.010616	237.820479	45	39
0.963920	226.831798	45	40
0.982078	231.104755	45	41
1.028869	242.115650	45	42
1.001579	235.693923	45	43
1.017844	239.521237	45	44
1.019766	245.164474	46	0
0.982066	236.100969	46	1
1.043473	250.864005	46	2
0.981669	236.005441	46	3
1.035344	248.909695	46	4
0.965111	232.024884	46	5
1.008523	242.461471	46	6
1.037028	249.314432	46	7
1.001683	240.817088	46	8
1.017975	244.733865	46	9
1.033074	248.363879	46	10
0.989802	237.960760	46	11
0.986646	237.202171	46	12
0.994302	239.042766	46	13
1.012684	243.461840	46	14
0.973968	234.154221	46	15
1.017560	244.634088	46	16
1.007212	242.146406	46	17
